73	3	34	1	29
73	3	34	1	29
73	3	34	1	29
237	6	57	1	198
650	8	66	1	39
11	8	71	1	22
25	8	114	1	35
25	8	114	1	35
25	8	114	1	35
10	8	72	1	29
10	8	72	1	29
307	8	88	1	78
237	8	102	1	198
163	9	30	1	55
163	9	30	2	55
163	9	30	2	55
5	11	21	1	9.5
5	11	21	1	8.800000000000001
5	11	21	1	8.800000000000001
5	11	21	1	8.800000000000001
5	11	21	1	9.5
73	13	25	1	29
77	14	99	1	39.99
158	14	99	1	35
158	14	111	1	35
158	14	111	1	35
158	14	111	1	35
87	16	45	1	25
361	16	110	1	85
11	22	29	1	28
25	22	42	1	35
11	22	31	1	22
125	22	42	1	29
25	22	42	1	35
25	22	42	1	35
11	22	29	1	22
11	22	29	1	28
25	22	42	1	35
125	22	42	1	29
25	22	31	1	35
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
22	23	56	1	6.9
596	24	54	1	149
10	26	69	1	29
1	29	23	2	9.5
52	29	51	1	9
1	29	23	1	9.5
52	29	51	1	9
1	29	51	1	9.5
52	29	51	1	9
1	29	51	2	9.5
52	29	51	1	9
1	29	51	1	9.5
1	29	23	1	9.5
1	29	23	1	9.5
1	29	23	1	9.5
1	29	51	1	9.5
1	29	51	1	9.5
1	29	51	1	9.5
107	29	23	1	8.5
372	30	88	1	240
341	30	73	1	328
57	30	104	1	316
372	30	90	1	240
372	30	78	1	240
57	30	104	1	316
372	30	79	1	240
341	30	75	1	328
57	30	112	1	316
372	30	85	1	240
341	30	73	1	328
57	30	111	1	316
372	30	109	1	240
341	30	86	1	328
372	30	118	1	240
57	30	111	1	316
372	30	61	1	240
372	30	83	1	240
57	30	117	1	316
372	30	88	1	240
341	30	76	1	328
57	30	96	1	316
372	30	89	1	240
57	30	103	1	316
341	30	69	1	328
372	30	79	1	240
57	30	117	1	316
372	30	80	1	240
341	30	79	1	328
372	30	83	1	240
57	30	96	1	316
341	30	73	1	328
57	30	108	1	316
341	30	82	1	328
57	30	104	1	316
341	30	93	1	328
57	30	118	1	316
341	30	104	1	328
57	30	103	1	316
341	30	84	1	328
596	30	102	1	219
57	30	109	1	316
341	30	92	1	328
596	30	106	1	219
57	30	98	1	316
596	30	112	1	219
341	30	83	1	328
57	30	112	1	316
341	30	75	1	328
57	30	118	1	316
341	30	74	1	328
57	30	99	1	316
341	30	72	1	328
57	30	93	1	316
341	30	73	1	328
57	30	116	1	316
341	30	72	1	328
57	30	96	1	316
341	30	82	1	328
57	30	96	1	316
341	30	69	1	328
57	30	103	1	316
341	30	109	1	328
341	30	84	1	328
57	30	110	1	316
57	30	110	1	316
341	30	73	1	328
57	30	111	1	316
57	30	103	1	316
341	30	70	1	328
57	30	101	1	316
341	30	74	1	328
57	30	103	1	316
341	30	74	1	328
57	30	97	1	316
57	30	105	1	316
57	30	117	1	316
341	30	86	1	328
57	30	117	1	316
341	30	73	1	328
57	30	117	1	316
341	30	72	1	328
57	30	117	1	316
341	30	71	1	328
341	30	88	1	328
341	30	70	1	328
57	30	114	1	316
341	30	84	1	328
57	30	117	1	316
57	30	108	1	316
341	30	60	1	328
341	30	71	1	328
341	30	69	1	328
57	30	103	1	316
341	30	69	1	328
57	30	110	1	316
341	30	72	1	328
57	30	104	1	316
341	30	73	1	328
341	30	81	1	328
57	30	117	1	316
341	30	87	1	328
341	30	84	2	328
341	30	105	1	328
341	30	73	1	328
341	30	89	1	328
341	30	70	1	328
341	30	76	1	328
19	35	14	1	10
19	35	20	1	10
19	35	14	1	10
19	35	20	1	10
19	35	20	1	10
19	35	14	1	10
19	35	20	1	10
156	39	81	1	66.5
109	42	90	1	70.59999999999999
361	42	90	1	85
163	46	8	1	55
24	49	8	1	9.800000000000001
24	49	46	1	9.800000000000001
24	49	46	1	9.800000000000001
24	49	8	1	9.800000000000001
24	49	46	1	9.800000000000001
24	49	46	1	9.800000000000001
24	49	46	1	9.800000000000001
24	49	8	1	9.800000000000001
