30	00	0	13.9
282	00	0	18
710	00	0	415
604	00	0	55.2
940	00	0	98
799	01	0	59
103	00	0	9.9
780	00	0	5.5
822	00	100	65
749	00	0	29
435	00	0	9.800000000000001
655	00	0	33
707	00	0	35
479	00	0	130
332	01	0	59.8
360	01	0	9.9
55	01	0	35
193	00	0	29
619	01	0	68
181	01	0	98
529	00	0	16.8
318	00	0	21.5
348	00	0	56
70	00	0	33
968	00	0	14.99
680	00	0	28
129	01	0	9.9
766	00	0	17
273	00	0	22
786	00	0	198
29	00	0	19
192	00	0	14
495	00	0	8.5
558	01	0	79
450	00	0	9.5
245	00	0	20
668	01	0	276
50	00	0	78
113	00	0	28
636	00	0	58
451	00	0	13.22
272	00	0	16.5
627	00	0	28
48	00	0	7.79
278	01	0	48
135	00	0	8.5
201	00	0	4.6
569	00	0	49
517	01	0	89
996	00	0	140
40	00	0	38
242	01	0	55
79	01	0	98
370	00	0	39.5
266	00	0	16
488	00	0	68
914	00	0	28
128	00	0	9.800000000000001
53	01	0	39.5
104	00	0	110
509	00	0	7
275	00	0	49
253	00	0	8.5
191	00	0	19
864	00	0	9.9
891	00	0	39
635	00	0	19.9
431	00	0	58
910	00	0	7.9
833	00	0	56
293	00	0	20
660	00	0	19
87	00	0	29
818	01	100	69
61	00	0	19
819	00	0	26
175	00	0	5
161	00	0	39
761	00	0	29
397	01	0	29
147	00	0	8.99
403	00	0	45
659	00	0	28
957	01	0	25
115	00	0	28
851	00	0	15.5
972	00	0	15
976	00	0	35
90	00	0	19
126	00	0	36
779	00	0	18
677	00	0	16.9
9	00	0	14.25
141	00	0	80
6	00	0	5
165	01	0	21
476	00	0	9.9
471	00	0	19
675	01	0	98
507	00	0	35
303	00	0	18
247	00	0	27
600	00	0	78
702	00	0	46
715	00	0	15
404	00	0	19
893	00	0	39.99
708	00	0	93
302	01	0	9.9
775	00	0	65
320	00	0	10
724	01	0	56
422	01	0	99
919	00	0	58.9
805	01	0	9.9
22	00	0	6.9
503	00	0	40
763	00	0	17
178	00	0	60
609	01	0	189
841	01	0	12.8
877	01	0	33
817	00	0	31
134	00	0	58
238	01	0	156
306	01	0	12.9
907	00	0	13
259	00	0	112
223	00	0	65
541	00	0	15.8
797	00	0	7.9
981	00	0	39
44	00	0	13.8
347	01	0	49
255	00	0	54
500	00	0	28
356	00	0	24
948	01	0	255
769	01	0	98
171	00	0	58
879	01	0	168
28	00	0	6.9
603	00	0	19
623	00	0	19.8
795	00	0	36
351	00	0	68
10	00	0	29
991	00	0	16
933	01	0	39
379	00	0	49
904	00	0	98
116	01	0	19.9
291	00	0	25
953	01	100	49
686	00	0	19
595	00	0	39
922	00	0	29
937	01	100	75
698	00	0	13.8
825	00	0	35
716	00	0	122
349	00	0	33
329	00	0	8.800000000000001
102	00	0	11
186	00	0	29
622	00	0	49
232	01	0	88
218	00	0	8.800000000000001
389	00	0	28
590	00	0	35
649	01	0	19.3
216	01	0	78
287	00	0	9.800000000000001
701	00	0	39
571	01	0	66
388	02	100	49
811	01	0	98.5
969	00	0	30
570	00	0	5.8
319	00	0	13.99
177	01	0	49
586	00	0	35
391	00	0	45
112	00	0	18
309	00	0	78
301	00	0	72
977	00	0	4.99
387	00	0	9.49
722	00	0	27
316	00	0	9.9
964	00	0	68
532	00	0	98
693	00	0	8.800000000000001
989	00	0	70
174	00	0	35
575	00	0	70
528	00	0	35
667	00	100	79
111	00	0	32
830	00	0	98
475	00	0	93
455	00	0	59
630	01	100	52
133	00	0	32
992	00	0	6.8
831	00	0	27.5
478	00	0	58
543	00	0	39
21	00	0	11.8
602	00	0	30
4	01	0	28
855	00	0	14.5
228	00	0	17
519	00	0	9.99
84	00	0	62
264	00	0	15
651	01	0	32
628	00	0	9.9
279	00	0	70
555	00	0	13.5
410	00	0	13.8
885	00	0	35
173	01	0	116
145	00	0	59
961	00	0	21
903	01	0	29
280	00	0	7.92
88	00	0	78
346	00	0	70
219	01	0	48.5
