1	1554	-1	7	-1	-1
2	1552	0	7	26	2
3	1551	2	8	31	2
4	1550	-1	4	29	2
5	1549	-1	8	37	2
6	1547	-1	7	32	2
7	1546	-1	5	31	2
8	1546	-1	6	25	2
9	1545	-1	5	47	2
10	1544	5	7	23	1
11	1544	-1	6	27	2
12	1543	-1	4	23	2
13	1543	-1	6	27	2
14	2930	0	5	-1	-1
15	1541	-1	5	-1	-1
16	1541	-1	5	32	1
17	1540	-1	8	36	2
18	2921	2	6	35	1
19	1539	-1	6	26	2
20	1539	2	3	44	2
21	1538	4	8	21	2
22	1538	-1	3	34	2
23	2915	11	7	31	2
24	1537	2	9	52	1
25	2910	-1	6	44	1
26	1535	-1	6	34	2
27	1533	-1	6	33	2
28	1533	-1	6	35	2
29	1532	-1	3	-1	-1
30	1532	-1	6	31	2
31	1531	-1	8	-1	-1
32	1530	-1	9	38	1
33	1529	3	5	32	1
34	1529	-1	5	-1	-1
35	1529	0	6	25	2
36	1528	-1	8	23	1
37	1528	1	5	37	2
38	1528	-1	7	28	2
39	1527	2	7	29	2
40	1527	-1	7	-1	-1
41	1526	-1	5	-1	-1
42	1524	-1	7	-1	-1
43	1524	0	7	29	2
44	1523	-1	8	35	2
45	1523	-1	4	44	2
46	2885	0	7	35	2
47	1523	-1	9	29	2
48	1522	7	6	27	2
49	2883	-1	7	29	2
50	1520	-1	6	33	2
51	1519	-1	6	-1	-1
52	1519	-1	7	26	2
53	1519	-1	6	54	1
54	1518	-1	6	33	2
55	1518	-1	6	-1	-1
56	1517	-1	6	21	2
57	1517	-1	6	28	2
58	1516	-1	7	36	2
59	1516	2	6	29	2
60	1515	1	6	26	1
61	1515	-1	7	-1	-1
62	2871	-1	6	30	1
63	1513	-1	6	47	1
64	1513	-1	6	-1	-1
65	2870	2	9	44	2
66	1511	-1	8	41	2
67	2869	-1	5	30	2
68	1511	-1	6	35	1
69	2869	-1	6	32	1
70	1510	-1	6	24	2
71	1510	1	6	27	1
72	2867	2	5	31	2
73	1510	-1	7	39	2
74	1509	0	8	24	2
75	1508	-1	7	31	2
76	1508	-1	6	-1	-1
77	1508	-1	3	-1	-1
